num,cell_width,cell_height,block_width,block_height,width,height,accuracy
84,8,8,1,1,32,40,0.807523510972
85,8,8,1,1,32,40,0.806527303754
86,8,8,1,1,32,40,0.799783783784
87,8,8,1,1,32,40,0.800633579725
88,8,8,1,1,32,40,0.802601216698
89,8,8,1,1,32,40,0.801371330619
90,8,8,1,1,32,40,0.79481777965
91,8,8,2,2,32,40,0.873548387097
92,8,8,2,2,32,40,0.870785340314
93,8,8,2,2,32,40,0.874788135593
94,8,8,2,2,32,40,0.877312353817
95,8,8,2,2,32,40,0.87075962539
96,8,8,2,2,32,40,0.873790492217
97,8,8,2,2,32,40,0.870526315789
98,8,8,2,2,32,40,0.870342771982
99,8,8,2,2,32,40,0.874531835206
100,8,8,2,2,32,40,0.877818337986
101,8,8,3,3,32,40,0.891500524659
102,8,8,3,3,32,40,0.896588037068
103,8,8,3,3,32,40,0.893330528088
104,8,8,3,3,32,40,0.89214240573
105,8,8,3,3,32,40,0.893434025593
106,8,8,3,3,32,40,0.896559139785
107,8,8,3,3,32,40,0.894451668834
108,8,8,3,3,32,40,0.889119601329
109,8,8,3,3,32,40,0.886157826649
110,8,8,3,3,32,40,0.886125385406
111,8,8,4,4,32,40,0.888520513883
112,8,8,4,4,32,40,0.894351464435
113,8,8,4,4,32,40,0.888375996643
114,8,8,4,4,32,40,0.891091219096
115,8,8,4,4,32,40,0.890361952862
116,8,8,4,4,32,40,0.881273724167
117,8,8,4,4,32,40,0.88597397232
118,8,8,4,4,32,40,0.889682706451
119,8,8,4,4,32,40,0.885702323634
120,8,8,4,4,32,40,0.876994122586
121,10,10,1,1,30,40,0.783732260114
122,10,10,1,1,30,40,0.789250053112
123,10,10,1,1,30,40,0.786057190566
124,10,10,1,1,30,40,0.782444351113
125,10,10,1,1,30,40,0.783651804671
126,10,10,1,1,30,40,0.784338358459
127,10,10,1,1,30,40,0.792306075258
128,10,10,1,1,30,40,0.779682274247
129,10,10,1,1,30,40,0.779696276264
130,10,10,1,1,30,40,0.781668828361
131,10,10,2,2,30,40,0.875026210946
132,10,10,2,2,30,40,0.867789473684
